response,rt,subj_idx,stimulus_index
1,0.0333333333333333,6,1
0,2.6,6,1
1,0.0333333333333333,6,1
1,0.1,6,1
1,2.63333333333333,6,1
1,1.26666666666667,6,1
1,1.36666666666667,41,1
1,0.0333333333333333,46,1
0,2.1,59,1
1,1.5,62,1
0,2.86666666666667,62,1
1,2.53333333333333,62,1
1,0.0333333333333333,62,1
1,0.0333333333333333,65,1
1,0.0333333333333333,65,1
1,2.26666666666667,108,1
0,0.966666666666667,108,1
1,0.0333333333333333,132,1
1,0.0333333333333333,137,1
1,0.0333333333333333,139,1
1,0.433333333333333,146,1
0,0.0333333333333333,164,1
1,1.33333333333333,164,1
1,2.16666666666667,164,1
1,0.0333333333333333,172,1
1,0.666666666666667,186,1
0,1.23333333333333,189,1
1,0.0333333333333333,191,1
1,0.0333333333333333,192,1
0,2.66666666666667,194,1
1,0.0333333333333333,203,1
1,0.566666666666667,207,1
1,0.533333333333333,207,1
0,0.0333333333333333,208,1
0,1.5,209,1
1,1.83333333333333,210,1
1,1.06666666666667,212,1
0,1.36666666666667,216,1
1,0.833333333333333,217,1
0,3,217,1
0,0.0333333333333333,217,1
1,0.9,217,1
1,1.43333333333333,218,1
1,2.33333333333333,218,1
0,2.7,232,1
1,1.66666666666667,237,1
1,0.7,237,1
1,0.0333333333333333,244,1
1,0.0666666666666667,263,1
1,2,263,1
1,0.0666666666666667,267,1
0,2.96666666666667,275,1
0,0.166666666666667,306,1
1,2,306,1
1,0.4,308,1
1,0.866666666666667,310,1
0,1.83333333333333,323,1
0,0.866666666666667,344,1
1,0.3,353,1
1,0.933333333333333,355,1
1,0.0333333333333333,355,1
1,2.86666666666667,356,1
1,1.8,366,1
1,0.9,374,1
1,0.433333333333333,374,1
0,2.26666666666667,379,1
0,0.4,381,1
1,0.833333333333333,382,1
1,1.83333333333333,382,1
1,0.0333333333333333,389,1
1,0.0333333333333333,391,1
1,0.366666666666667,391,1
1,0.0333333333333333,392,1
1,0.0666666666666667,394,1
1,1.8,399,1
1,0.0333333333333333,399,1
1,1.3,399,1
1,0.633333333333333,419,1
1,0.733333333333333,419,1
1,0.166666666666667,420,1
1,2.13333333333333,423,1
0,1.83333333333333,423,1
1,0.966666666666667,429,1
1,0.0333333333333333,432,1
1,2.36666666666667,433,1
1,1.2,436,1
0,0.433333333333333,442,1
1,0.0333333333333333,443,1
1,2.53333333333333,445,1
0,1.43333333333333,446,1
1,2.6,452,1
0,0.233333333333333,455,1
1,0.266666666666667,462,1
0,1.6,467,1
0,1.83333333333333,469,1
1,2.86666666666667,470,1
1,0.566666666666667,475,1
1,0.833333333333333,477,1
0,2.73333333333333,481,1
0,0.0333333333333333,483,1
1,0.0333333333333333,483,1
1,0.0333333333333333,483,1
1,2.76666666666667,483,1
1,1.7,487,1
0,0.0333333333333333,495,1
0,2.56666666666667,512,1
1,2.5,522,1
1,0.0333333333333333,523,1
0,2.76666666666667,530,1
0,0.0333333333333333,538,1
0,1.13333333333333,541,1
1,0.0333333333333333,543,1
1,0.0333333333333333,547,1
1,1.03333333333333,550,1
1,0.533333333333333,550,1
0,1.43333333333333,550,1
1,0.0333333333333333,552,1
0,1.96666666666667,561,1
1,0.833333333333333,562,1
1,0.333333333333333,567,1
1,0.0333333333333333,575,1
1,0.466666666666667,582,1
0,0.533333333333333,588,1
1,0.4,588,1
1,1.3,588,1
1,0.0333333333333333,588,1
0,0.6,605,1
1,1.16666666666667,612,1
1,0.0333333333333333,622,1
1,1.83333333333333,622,1
1,0.533333333333333,622,1
1,0.633333333333333,644,1
1,2.5,653,1
1,0.7,655,1
1,1.5,655,1
1,1.03333333333333,656,1
1,0.633333333333333,661,1
1,0.0333333333333333,663,1
1,0.0333333333333333,685,1
0,0.2,716,1
0,0.0333333333333333,760,1
1,0.0333333333333333,761,1
0,0.233333333333333,767,1
1,0.0333333333333333,770,1
1,2.73333333333333,770,1
1,0.0333333333333333,792,1
1,0.0333333333333333,793,1
1,0.0333333333333333,794,1
1,2.1,800,1
1,1.8,809,1
1,0.0333333333333333,817,1
1,0.0333333333333333,837,1
0,1.36666666666667,843,1
0,1.93333333333333,863,1
1,0.0333333333333333,863,1
1,1.5,868,1
1,0.0333333333333333,877,1
1,0.0333333333333333,877,1
1,0.3,877,1
1,1.16666666666667,879,1
1,0.633333333333333,886,1
1,0.0333333333333333,886,1
1,0.0333333333333333,886,1
1,0.0333333333333333,887,1
0,0.0333333333333333,887,1
0,0.466666666666667,887,1
0,0.933333333333333,891,1
0,2.26666666666667,891,1
1,0.4,894,1
1,1.26666666666667,894,1
1,0.2,895,1
1,0.266666666666667,896,1
1,0.0666666666666667,896,1
0,1.36666666666667,900,1
1,0.0333333333333333,911,1
1,0.866666666666667,917,1
1,0.0333333333333333,942,1
0,0.5,944,1
0,2.4,944,1
0,2.66666666666667,946,1
1,1.46666666666667,947,1
1,0.0333333333333333,955,1
1,0.533333333333333,958,1
1,1.56666666666667,960,1
1,0.0333333333333333,965,1
1,1.26666666666667,979,1
1,0.0333333333333333,984,1
1,0.0333333333333333,992,1
1,0.0333333333333333,993,1
1,0.533333333333333,996,1
1,0.0333333333333333,996,1
1,0.0333333333333333,1001,1
1,2.7,1001,1
1,0.0333333333333333,1001,1
1,1.16666666666667,1001,1
1,0.966666666666667,1001,1
1,0.0333333333333333,1004,1
1,0.0333333333333333,1006,1
1,0.0333333333333333,1011,1
0,1.93333333333333,1014,1
0,0.0333333333333333,1044,1
0,0.233333333333333,1045,1
1,1.73333333333333,1045,1
1,0.9,1045,1
0,0.4,1045,1
1,0.0333333333333333,1046,1
1,0.0333333333333333,1046,1
1,0.0333333333333333,1051,1
1,0.0333333333333333,1054,1
1,0.0333333333333333,1054,1
1,1.33333333333333,1054,1
0,0.266666666666667,1055,1
1,1.1,1055,1
1,0.466666666666667,1064,1
1,1,1094,1
1,0.166666666666667,6,2
1,0.0333333333333333,6,2
1,0.633333333333333,6,2
1,1.63333333333333,53,2
1,1.23333333333333,60,2
1,0.866666666666667,62,2
1,0.5,62,2
1,1,62,2
1,2.03333333333333,62,2
1,0.0333333333333333,96,2
1,2.16666666666667,102,2
1,0.0333333333333333,105,2
1,0.133333333333333,108,2
1,0.866666666666667,108,2
0,1.46666666666667,110,2
1,1.1,110,2
1,1.13333333333333,116,2
1,0.733333333333333,145,2
1,0.0333333333333333,145,2
1,1.4,187,2
1,1.5,202,2
1,0.333333333333333,207,2
1,0.0333333333333333,217,2
1,0.0333333333333333,251,2
0,2.23333333333333,345,2
1,2.53333333333333,346,2
1,1.93333333333333,356,2
1,1.03333333333333,356,2
1,2.6,356,2
1,0.0333333333333333,363,2
1,1.63333333333333,364,2
1,0.0666666666666667,365,2
1,2.4,374,2
1,0.566666666666667,376,2
0,1.13333333333333,378,2
1,0.333333333333333,379,2
1,2.4,399,2
1,1.13333333333333,409,2
1,2.76666666666667,410,2
1,1.3,410,2
1,0.533333333333333,415,2
1,2.7,427,2
1,0.0333333333333333,429,2
1,0.333333333333333,435,2
1,0.366666666666667,441,2
1,2.6,446,2
0,1.1,513,2
1,0.6,532,2
1,0.0333333333333333,543,2
1,0.0333333333333333,551,2
0,0.733333333333333,555,2
0,0.866666666666667,563,2
1,0.0333333333333333,567,2
1,1.43333333333333,579,2
1,1.43333333333333,588,2
1,0.433333333333333,597,2
1,2.16666666666667,613,2
1,0.0333333333333333,613,2
1,1.3,635,2
0,1,657,2
1,2.76666666666667,658,2
1,2.93333333333333,660,2
1,0.566666666666667,663,2
1,0.0333333333333333,663,2
1,0.0333333333333333,668,2
0,1.36666666666667,668,2
1,2.46666666666667,762,2
1,1.3,796,2
1,0.0666666666666667,809,2
1,1.9,809,2
1,2.46666666666667,834,2
1,0.0333333333333333,834,2
1,0.0333333333333333,835,2
0,0.6,836,2
0,1.16666666666667,837,2
1,0.0333333333333333,837,2
0,0.0333333333333333,846,2
1,0.0333333333333333,848,2
1,0.0333333333333333,877,2
1,2.2,877,2
1,0.0333333333333333,879,2
1,0.7,879,2
1,1.13333333333333,879,2
1,0.733333333333333,887,2
1,0.333333333333333,887,2
1,2.73333333333333,891,2
1,0.0333333333333333,891,2
1,0.0333333333333333,892,2
1,1.13333333333333,892,2
1,0.533333333333333,892,2
1,0.0333333333333333,896,2
0,2.16666666666667,916,2
1,0.1,917,2
1,0.0333333333333333,942,2
1,0.266666666666667,942,2
1,0.0333333333333333,942,2
1,1.36666666666667,942,2
1,0.0333333333333333,942,2
0,0.0333333333333333,944,2
1,0.166666666666667,955,2
1,0.7,955,2
1,2.1,955,2
1,0.633333333333333,965,2
1,0.0333333333333333,980,2
1,2.73333333333333,990,2
1,0.333333333333333,991,2
1,0.0333333333333333,991,2
1,0.366666666666667,994,2
1,2.3,995,2
1,1.3,996,2
1,0.0333333333333333,1001,2
1,0.0333333333333333,1001,2
1,0.0333333333333333,1005,2
1,1,1005,2
0,1.36666666666667,1006,2
1,0.0333333333333333,1009,2
1,0.2,1011,2
1,0.0333333333333333,1011,2
1,1.33333333333333,1011,2
1,0.0333333333333333,1013,2
1,0.4,1020,2
1,0.0333333333333333,1045,2
0,2.06666666666667,1045,2
1,0.0333333333333333,1050,2
1,1,1057,2
