response,rt,difficulty,subj_idx
1,0.166666667,2,0
1,-0.866666667,2,0
1,-0.366666667,2,0
1,0.633333333,2,0
1,1.633333333,2,0
1,1.233333333,2,0
1,0.866666667,2,0
1,0.5,2,0
1,1,2,0
1,-0.1,2,0
1,-0.866666667,2,0
1,0.133333333,2,0
1,0.866666667,2,0
0,1.466666667,2,0
1,1.1,2,0
1,-0.533333333,2,0
1,0.733333333,2,0
1,-0.733333333,2,0
1,1.4,2,0
1,1.5,2,0
1,0.333333333,2,0
1,-0.033333333,2,0
1,-0.033333333,2,0
0,2.233333333,2,0
1,2.533333333,2,0
1,1.933333333,2,0
1,1.033333333,2,0
1,-0.966666667,2,0
1,-0.033333333,2,0
1,1.633333333,2,0
1,2.4,2,0
1,-0.9,2,0
0,1.133333333,2,0
1,-0.366666667,2,0
1,2.4,2,0
1,2.766666667,2,0
1,1.3,2,0
1,0.533333333,2,0
1,-0.666666667,2,0
1,2.7,2,0
1,-0.533333333,2,0
1,0.333333333,2,0
1,0.366666667,2,0
1,2.6,2,0
0,1.1,2,0
1,-0.866666667,2,0
1,-0.566666667,2,0
1,-0.666666667,2,0
0,0.733333333,2,0
0,0.866666667,2,0
1,-0.6,2,0
1,1.433333333,2,0
1,1.433333333,2,0
1,0.433333333,2,0
1,2.166666667,2,0
1,-0.6,2,0
1,1.3,2,0
0,1,2,0
1,2.766666667,2,0
1,2.933333333,2,0
1,0.566666667,2,0
1,-0.466666667,2,0
1,-0.733333333,2,0
0,1.366666667,2,0
1,2.466666667,2,0
1,1.3,2,0
1,0.066666667,2,0
1,1.9,2,0
1,2.466666667,2,0
1,-0.3,2,0
1,-0.266666667,2,0
0,0.6,2,0
0,1.166666667,2,0
1,-0.433333333,2,0
0,-0.166666667,2,0
1,-0.666666667,2,0
1,-0.333333333,2,0
1,2.2,2,0
1,-0.4,2,0
1,-0.866666667,2,0
1,0.7,2,0
1,1.133333333,2,0
1,0.733333333,2,0
1,0.333333333,2,0
1,2.733333333,2,0
1,-0.9,2,0
1,-0.3,2,0
1,1.133333333,2,0
1,0.533333333,2,0
1,-0.666666667,2,0
0,2.166666667,2,0
1,0.1,2,0
1,-0.866666667,2,0
1,0.266666667,2,0
1,-0.433333333,2,0
1,1.366666667,2,0
1,-0.933333333,2,0
0,-0.333333333,2,0
1,0.166666667,2,0
1,0.7,2,0
1,2.1,2,0
1,0.633333333,2,0
1,-0.366666667,2,0
1,-0.8,2,0
1,-0.133333333,2,0
1,0.366666667,2,0
1,-0.933333333,2,0
1,2.3,2,0
1,1.3,2,0
1,-0.533333333,2,0
1,-0.633333333,2,0
1,-0.033333333,2,0
1,1,2,0
0,1.366666667,2,0
1,-0.9,2,0
1,0.2,2,0
1,-0.666666667,2,0
1,1.333333333,2,0
1,0.033333333,2,0
1,0.4,2,0
1,-0.966666667,2,0
1,-0.766666667,2,0
0,2.066666667,2,0
1,-0.533333333,2,0
1,1,2,0
1,0.7,2,0
1,-0.7,2,0
0,0.666666667,2,0
